═══════════════════════════════════════════════
  MAZE BLUEPRINT - Architect's Plan
═══════════════════════════════════════════════
Generated: 03/03/2026 20:37:18
Total Walls: 0
Total Torches: 80

═══════════════════════════════════════════════
  WALL POSITIONS
═══════════════════════════════════════════════

═══════════════════════════════════════════════
  TORCH POSITIONS
═══════════════════════════════════════════════
[001] Pos: (42.35, 2.40, 147.00) | Rot: (0.00, 270.00, 0.00) | Height: 2,40 | Inset: 0,35
[026] Pos: (96.35, 2.40, 3.00) | Rot: (0.00, 270.00, 0.00) | Height: 2,40 | Inset: 0,35
[027] Pos: (117.00, 2.40, 23.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[028] Pos: (29.65, 2.40, 57.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[029] Pos: (87.00, 2.40, 161.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[030] Pos: (9.00, 2.40, 42.35) | Rot: (0.00, 180.00, 0.00) | Height: 2,40 | Inset: 0,35
[031] Pos: (87.00, 2.40, 66.35) | Rot: (0.00, 180.00, 0.00) | Height: 2,40 | Inset: 0,35
[032] Pos: (99.00, 2.40, 173.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[033] Pos: (27.00, 2.40, 11.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[034] Pos: (29.65, 2.40, 45.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[035] Pos: (57.00, 2.40, 126.35) | Rot: (0.00, 180.00, 0.00) | Height: 2,40 | Inset: 0,35
[036] Pos: (143.65, 2.40, 27.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[037] Pos: (113.65, 2.40, 183.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[038] Pos: (93.00, 2.40, 29.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[039] Pos: (89.65, 2.40, 63.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[040] Pos: (15.00, 2.40, 65.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[041] Pos: (12.35, 2.40, 33.00) | Rot: (0.00, 270.00, 0.00) | Height: 2,40 | Inset: 0,35
[042] Pos: (54.35, 2.40, 39.00) | Rot: (0.00, 270.00, 0.00) | Height: 2,40 | Inset: 0,35
[043] Pos: (6.35, 2.40, 99.00) | Rot: (0.00, 270.00, 0.00) | Height: 2,40 | Inset: 0,35
[044] Pos: (81.00, 2.40, 47.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[045] Pos: (59.65, 2.40, 15.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[046] Pos: (129.00, 2.40, 131.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[047] Pos: (33.00, 2.40, 107.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[048] Pos: (-0.35, 2.40, 27.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[049] Pos: (144.35, 2.40, 15.00) | Rot: (0.00, 270.00, 0.00) | Height: 2,40 | Inset: 0,35
[050] Pos: (17.65, 2.40, 3.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[051] Pos: (53.65, 2.40, 135.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[052] Pos: (33.00, 2.40, 131.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[053] Pos: (84.35, 2.40, 45.00) | Rot: (0.00, 270.00, 0.00) | Height: 2,40 | Inset: 0,35
[054] Pos: (18.35, 2.40, 141.00) | Rot: (0.00, 270.00, 0.00) | Height: 2,40 | Inset: 0,35
[055] Pos: (36.35, 2.40, 159.00) | Rot: (0.00, 270.00, 0.00) | Height: 2,40 | Inset: 0,35
[056] Pos: (57.00, 2.40, 24.35) | Rot: (0.00, 180.00, 0.00) | Height: 2,40 | Inset: 0,35
[057] Pos: (9.00, 2.40, 168.35) | Rot: (0.00, 180.00, 0.00) | Height: 2,40 | Inset: 0,35
[058] Pos: (171.00, 2.40, 83.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[059] Pos: (89.65, 2.40, 75.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[060] Pos: (48.35, 2.40, 45.00) | Rot: (0.00, 270.00, 0.00) | Height: 2,40 | Inset: 0,35
[061] Pos: (60.35, 2.40, 177.00) | Rot: (0.00, 270.00, 0.00) | Height: 2,40 | Inset: 0,35
[062] Pos: (96.35, 2.40, 15.00) | Rot: (0.00, 270.00, 0.00) | Height: 2,40 | Inset: 0,35
[063] Pos: (111.00, 2.40, 11.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[064] Pos: (125.65, 2.40, 153.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[065] Pos: (161.65, 2.40, 153.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[066] Pos: (111.00, 2.40, 24.35) | Rot: (0.00, 180.00, 0.00) | Height: 2,40 | Inset: 0,35
[067] Pos: (47.65, 2.40, 81.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[068] Pos: (77.65, 2.40, 63.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[069] Pos: (117.00, 2.40, 149.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[070] Pos: (81.00, 2.40, 30.35) | Rot: (0.00, 180.00, 0.00) | Height: 2,40 | Inset: 0,35
[071] Pos: (63.00, 2.40, 162.35) | Rot: (0.00, 180.00, 0.00) | Height: 2,40 | Inset: 0,35
[072] Pos: (17.65, 2.40, 147.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[073] Pos: (93.00, 2.40, 41.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[074] Pos: (81.00, 2.40, 65.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[075] Pos: (126.35, 2.40, 183.00) | Rot: (0.00, 270.00, 0.00) | Height: 2,40 | Inset: 0,35
[076] Pos: (147.00, 2.40, 59.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[077] Pos: (66.35, 2.40, 69.00) | Rot: (0.00, 270.00, 0.00) | Height: 2,40 | Inset: 0,35
[078] Pos: (135.00, 2.40, 71.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[079] Pos: (105.00, 2.40, 156.35) | Rot: (0.00, 180.00, 0.00) | Height: 2,40 | Inset: 0,35
[080] Pos: (99.00, 2.40, 66.35) | Rot: (0.00, 180.00, 0.00) | Height: 2,40 | Inset: 0,35
